city,lat,lng,temp_max,humidity,cloudiness,wind speed,country,date
sioux lookout,50.1,-91.92,24.8,49,75,8.05,CA,1604269754
marzuq,14.4,46.47,61.32,31,0,1.59,YE,1604269754
santa teresa,10.23,-66.66,73.0,83,54,1.39,VE,1604269755
gat,31.61,34.76,73.99,92,100,2.44,IL,1604269755
bowen,-20.02,148.23,80.6,74,40,8.05,AU,1604269693
burnie,-41.07,145.92,60.01,70,100,4.0,AU,1604269756
curillo,1.03,-75.92,79.38,75,87,2.35,CO,1604269756
presidencia roque saenz pena,-26.79,-60.44,73.31,48,0,5.7,AR,1604269757
boyolangu,-8.12,111.89,74.91,87,97,1.43,ID,1604269757
sisimiut,66.94,-53.67,27.9,96,100,10.2,GL,1604269758
muroto,33.28,134.15,62.6,100,75,3.36,JP,1604269758
viedma,-40.81,-63.0,80.01,24,0,16.11,AR,1604269758
babushkin,51.71,105.86,19.67,86,0,4.47,RU,1604269759
kutum,14.2,24.67,74.53,27,43,17.25,SD,1604269759
ibb,13.97,44.18,58.44,35,0,3.36,YE,1604269760
veraval,20.9,70.37,78.87,37,62,13.22,IN,1604269760
altamira,-3.2,-52.21,89.6,52,0,4.7,BR,1604269761
sistranda,63.73,8.83,53.6,58,75,25.28,NO,1604269761
longyearbyen,78.22,15.64,33.8,69,0,31.09,SJ,1604269761
cairns,-16.92,145.77,82.4,58,10,8.05,AU,1604269762
konya,38.17,32.5,46.4,61,20,8.05,TR,1604269762
lixourion,38.2,20.43,64.6,68,50,2.3,GR,1604269762
warmbad,-28.45,18.73,68.29,23,0,4.16,NA,1604269763
kendari,-3.94,122.5,75.33,91,100,2.91,ID,1604269763
tagusao,9.19,117.81,80.87,80,100,12.17,PH,1604269763
discovery bay,37.91,-121.6,81.0,27,1,4.0,US,1604269764
dunedin,-45.87,170.5,55.99,58,67,17.0,NZ,1604269764
oussouye,12.48,-16.55,84.2,83,0,2.24,SN,1604269765
zagan,51.62,15.31,54.0,91,93,3.0,PL,1604269765
mlonggo,-6.53,110.7,77.47,84,94,3.76,ID,1604269765
hailin,44.58,129.42,29.62,88,3,7.49,CN,1604269766
atambua,-9.11,124.89,76.14,72,91,2.71,ID,1604269766
puquio,-14.7,-74.13,55.71,41,7,12.1,PE,1604269766
sibolga,1.74,98.78,75.67,82,95,2.55,ID,1604269767
mwene-ditu,-7.0,23.45,65.17,92,40,1.68,CD,1604269767
keita,14.76,5.77,80.04,17,0,10.51,NE,1604269768
trairi,-3.28,-39.27,80.28,78,47,11.74,BR,1604269768
vidim,56.41,103.11,16.11,84,69,6.96,RU,1604269769
trat,12.5,102.5,74.89,92,50,5.53,TH,1604269769
yeppoon,-23.13,150.73,78.8,74,40,5.82,AU,1604269769
bedesa,8.9,40.78,59.86,79,19,2.21,ET,1604269770
